time_s,mean_moisture,cumulative_loss,residual
0.0,2.549999999999996,0.0,-3.9968028886505635e-15
1.0,2.549799294048808,0.00020070595118776676,-3.9968028886505635e-15
2.0,2.5496000069034706,0.0003999930965260459,-3.1086244689504383e-15
3.0,2.549401636883952,0.0005983631160453936,-2.6645352591003757e-15
4.0,2.5492040051194373,0.000795994880559939,-2.6645352591003757e-15
5.0,2.549007008254035,0.0009929917459623183,-2.6645352591003757e-15
6.0,2.5488105765625018,0.0011894234374951805,-2.6645352591003757e-15
7.0,2.5486146588650502,0.0013853411349466541,-3.1086244689504383e-15
8.0,2.548419215512598,0.0015807844873993815,-2.6645352591003757e-15
9.0,2.548224214609974,0.00177578539002331,-2.6645352591003757e-15
10.0,2.5480296297746055,0.0019703702253910604,-3.1086244689504383e-15
11.0,2.5478354387099995,0.0021645612899970305,-3.1086244689504383e-15
12.0,2.5476416222483738,0.0023583777516235464,-2.6645352591003757e-15
13.0,2.547448163680828,0.0025518363191683086,-3.552713678800501e-15
14.0,2.547255048272724,0.0027449517272733095,-2.6645352591003757e-15
15.0,2.547062262903042,0.0029377370969549442,-3.1086244689504383e-15
16.0,2.546869795789883,0.003130204210114278,-2.6645352591003757e-15
17.0,2.546677636277108,0.0033223637228893847,-2.220446049250313e-15
18.0,2.5464857746658547,0.003514225334142938,-2.220446049250313e-15
19.0,2.546294202079276,0.003705797920720754,-3.1086244689504383e-15
20.0,2.5461029103527353,0.003897089647263441,-8.881784197001252e-16
21.0,2.5459118919433554,0.0040881080566417165,-2.6645352591003757e-15
22.0,2.54572113985503,0.004278860144967373,-2.220446049250313e-15
23.0,2.5455306475754167,0.004469352424581384,-1.7763568394002505e-15
24.0,2.5453404090226566,0.004659590977341407,-1.7763568394002505e-15
25.0,2.5451504185000355,0.004849581499962299,-1.7763568394002505e-15
26.0,2.5449606706569816,0.005039329343016505,-1.7763568394002505e-15
27.0,2.5447711604553884,0.005228839544608984,-2.220446049250313e-15
28.0,2.544581883140426,0.005418116859571889,-1.7763568394002505e-15
29.0,2.5443928342149467,0.005607165785052326,-8.881784197001252e-16
30.0,2.544204009417033,0.00579599058296503,-1.7763568394002505e-15
31.0,2.5440154047002443,0.0059845952997528516,-2.6645352591003757e-15
32.0,2.543827016216062,0.006172983783935639,-2.220446049250313e-15
33.0,2.543638840298273,0.006361159701724359,-2.6645352591003757e-15
34.0,2.5434508734490278,0.006549126550970908,-1.3322676295501878e-15
35.0,2.543263112326394,0.006736887673604244,-1.7763568394002505e-15
36.0,2.5430755537331042,0.0069244462668944335,-1.3322676295501878e-15
37.0,2.542888194606421,0.007111805393576414,-2.6645352591003757e-15
38.0,2.542701032008965,0.00729896799103179,-3.1086244689504383e-15
39.0,2.542514063120441,0.007485936879556835,-1.7763568394002505e-15
40.0,2.5423272852300576,0.007672714769940725,-1.3322676295501878e-15
41.0,2.542140695729623,0.007859304270375386,-1.3322676295501878e-15
42.0,2.541954292107239,0.008045707892759362,-1.7763568394002505e-15
43.0,2.541768071941555,0.008231928058442252,-2.220446049250313e-15
44.0,2.541582032896452,0.008417967103546158,-1.7763568394002505e-15
45.0,2.541396172716171,0.008603827283827541,-1.3322676295501878e-15
46.0,2.5412104892208127,0.008789510779185782,-1.3322676295501878e-15
47.0,2.5410249803021814,0.008975019697816729,-1.7763568394002505e-15
48.0,2.5408396439199605,0.009160356080036817,-2.6645352591003757e-15
49.0,2.540654478098161,0.009345521901837144,-1.7763568394002505e-15
50.0,2.5404694809218027,0.009530519078195042,-2.220446049250313e-15
51.0,2.540284650533857,0.009715349466140001,-2.6645352591003757e-15
52.0,2.540099985132374,0.009900014867623385,-2.220446049250313e-15
53.0,2.5399154829678237,0.010084517032174214,-1.7763568394002505e-15
54.0,2.53973114234062,0.01026885765937917,-8.881784197001252e-16
55.0,2.539546961598789,0.010453038401209331,-1.3322676295501878e-15
56.0,2.5393629391357986,0.010637060864199905,-1.3322676295501878e-15
57.0,2.539179073388509,0.010820926611488584,-2.220446049250313e-15
