time_s,mean_moisture,cumulative_loss_gl4,B_gl4_signed,B_gl4_abs,cumulative_loss_gl8,B_gl8_signed,B_gl8_abs,cumulative_loss_gl16,B_gl16_signed,B_gl16_abs,cumulative_loss_gl32,B_gl32_signed,B_gl32_abs
0.0,2.5500000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.81484e-07,2.5499999999632625,7.347546159326133e-15,0.0,0.0,7.34754615932613e-15,0.0,0.0,7.347546159326131e-15,0.0,0.0,7.347546159326133e-15,0.0,0.0
3.62968e-07,2.549999999926525,1.4695091227030297e-14,0.0,0.0,1.469509122703029e-14,0.0,0.0,1.4695091227030294e-14,0.0,0.0,1.4695091227030297e-14,0.0,0.0
2.17781e-06,2.549999999559147,8.817056310213123e-14,-4.440892098500626e-16,4.440892098500626e-16,8.817056310213122e-14,-4.440892098500626e-16,4.440892098500626e-16,8.817056310213122e-14,-4.440892098500626e-16,4.440892098500626e-16,8.817056310213123e-14,-4.440892098500626e-16,4.440892098500626e-16
3.992651e-06,2.549999999191771,1.6164588609277516e-13,0.0,0.0,1.6164588609277516e-13,0.0,0.0,1.6164588609277516e-13,0.0,0.0,1.616458860927752e-13,0.0,0.0
1.0400351e-05,2.54999999789467,4.2106600526078403e-13,0.0,0.0,4.2106600526078403e-13,0.0,0.0,4.210660052607841e-13,0.0,0.0,4.210660052607842e-13,0.0,0.0
1.680805e-05,2.549999996597576,6.804847633782305e-13,-4.440892098500626e-16,4.440892098500626e-16,6.804847633782305e-13,-4.440892098500626e-16,4.440892098500626e-16,6.804847633782306e-13,-4.440892098500626e-16,4.440892098500626e-16,6.804847633782307e-13,-4.440892098500626e-16,4.440892098500626e-16
2.3215749e-05,2.549999995300489,9.399022248048037e-13,-4.440892098500626e-16,4.440892098500626e-16,9.399022248048037e-13,-4.440892098500626e-16,4.440892098500626e-16,9.399022248048039e-13,-4.440892098500626e-16,4.440892098500626e-16,9.39902224804804e-13,-4.440892098500626e-16,4.440892098500626e-16
4.647486e-05,2.5499999905922857,1.8815432090208455e-12,1.3322676295501878e-15,1.3322676295501878e-15,1.881543209020845e-12,1.3322676295501878e-15,1.3322676295501878e-15,1.8815432090208455e-12,1.3322676295501878e-15,1.3322676295501878e-15,1.8815432090208455e-12,1.3322676295501878e-15,1.3322676295501878e-15
6.3722317e-05,2.549999987101036,2.579793233513945e-12,2.220446049250313e-15,2.220446049250313e-15,2.5797932335139448e-12,2.220446049250313e-15,2.220446049250313e-15,2.579793233513945e-12,2.220446049250313e-15,2.220446049250313e-15,2.5797932335139456e-12,2.220446049250313e-15,2.220446049250313e-15
8.0969774e-05,2.5499999836098275,3.2780350078341767e-12,2.220446049250313e-15,2.220446049250313e-15,3.2780350078341763e-12,2.220446049250313e-15,2.220446049250313e-15,3.278035007834177e-12,2.220446049250313e-15,2.220446049250313e-15,3.2780350078341775e-12,2.220446049250313e-15,2.220446049250313e-15
9.8217231e-05,2.549999980118658,3.976268901825434e-12,2.220446049250313e-15,2.220446049250313e-15,3.976268901825434e-12,2.220446049250313e-15,2.220446049250313e-15,3.976268901825435e-12,2.220446049250313e-15,2.220446049250313e-15,3.976268901825436e-12,2.220446049250313e-15,2.220446049250313e-15
0.000127205019,2.5499999742511363,5.149773265045936e-12,2.220446049250313e-15,2.220446049250313e-15,5.149773265045936e-12,2.220446049250313e-15,2.220446049250313e-15,5.149773265045937e-12,2.220446049250313e-15,2.220446049250313e-15,5.149773265045938e-12,2.220446049250313e-15,2.220446049250313e-15
0.000156192807,2.5499999683837133,6.3232578068159616e-12,2.220446049250313e-15,2.220446049250313e-15,6.323257806815961e-12,2.220446049250313e-15,2.220446049250313e-15,6.323257806815962e-12,2.220446049250313e-15,2.220446049250313e-15,6.323257806815964e-12,2.220446049250313e-15,2.220446049250313e-15
0.000185180595,2.549999962516383,7.496723836378583e-12,2.220446049250313e-15,2.220446049250313e-15,7.496723836378582e-12,2.220446049250313e-15,2.220446049250313e-15,7.496723836378583e-12,2.220446049250313e-15,2.220446049250313e-15,7.496723836378585e-12,2.220446049250313e-15,2.220446049250313e-15
0.000214168382,2.5499999566491396,8.670172473642129e-12,1.7763568394002505e-15,1.7763568394002505e-15,8.670172473642126e-12,1.7763568394002505e-15,1.7763568394002505e-15,8.670172473642129e-12,1.7763568394002505e-15,1.7763568394002505e-15,8.67017247364213e-12,1.7763568394002505e-15,1.7763568394002505e-15
0.000277447704,2.5499999438414322,1.1231714237831558e-11,3.1086244689504383e-15,3.1086244689504383e-15,1.1231714237831555e-11,3.1086244689504383e-15,3.1086244689504383e-15,1.1231714237831558e-11,3.1086244689504383e-15,3.1086244689504383e-15,1.1231714237831561e-11,3.1086244689504383e-15,3.1086244689504383e-15
0.000340727025,2.5499999310340704,1.3793187075234648e-11,5.329070518200751e-15,5.329070518200751e-15,1.3793187075234645e-11,5.329070518200751e-15,5.329070518200751e-15,1.3793187075234648e-11,5.329070518200751e-15,5.329070518200751e-15,1.3793187075234652e-11,5.329070518200751e-15,5.329070518200751e-15
0.000390834281,2.5499999208928754,1.5821426068859144e-11,5.329070518200751e-15,5.329070518200751e-15,1.582142606885914e-11,5.329070518200751e-15,5.329070518200751e-15,1.5821426068859144e-11,5.329070518200751e-15,5.329070518200751e-15,1.5821426068859147e-11,5.329070518200751e-15,5.329070518200751e-15
0.000440941537,2.5499999107518594,1.7849629320833462e-11,5.773159728050814e-15,5.773159728050814e-15,1.784962932083346e-11,5.773159728050814e-15,5.773159728050814e-15,1.7849629320833462e-11,5.773159728050814e-15,5.773159728050814e-15,1.7849629320833466e-11,5.773159728050814e-15,5.773159728050814e-15
0.000491048793,2.549999900611009,1.9877799281122168e-11,5.329070518200751e-15,5.329070518200751e-15,1.9877799281122164e-11,5.329070518200751e-15,5.329070518200751e-15,1.9877799281122168e-11,5.329070518200751e-15,5.329070518200751e-15,1.987779928112217e-11,5.329070518200751e-15,5.329070518200751e-15
0.000541156048,2.5499998904703154,2.1905937989853886e-11,4.884981308350689e-15,4.884981308350689e-15,2.1905937989853883e-11,4.884981308350689e-15,4.884981308350689e-15,2.1905937989853886e-11,4.884981308350689e-15,4.884981308350689e-15,2.190593798985389e-11,4.884981308350689e-15,4.884981308350689e-15
0.000591263304,2.549999880329769,2.3934047315349527e-11,5.329070518200751e-15,5.329070518200751e-15,2.3934047315349524e-11,5.329070518200751e-15,5.329070518200751e-15,2.3934047315349527e-11,5.329070518200751e-15,5.329070518200751e-15,2.393404731534953e-11,5.329070518200751e-15,5.329070518200751e-15
0.00064328506,2.5499998698019195,2.6039617246256706e-11,5.329070518200751e-15,5.329070518200751e-15,2.6039617246256702e-11,5.329070518200751e-15,5.329070518200751e-15,2.6039617246256706e-11,5.329070518200751e-15,5.329070518200751e-15,2.603961724625671e-11,5.329070518200751e-15,5.329070518200751e-15
0.000695306815,2.549999859274213,2.8145158593972724e-11,5.329070518200751e-15,5.329070518200751e-15,2.814515859397272e-11,5.329070518200751e-15,5.329070518200751e-15,2.8145158593972724e-11,5.329070518200751e-15,5.329070518200751e-15,2.8145158593972727e-11,5.329070518200751e-15,5.329070518200751e-15
