time_s,temperature_C,moisture_kg_per_kg
305.0,30.87225,0.021945
306.0,30.8799,0.021952
307.0,30.88755,0.021959
308.0,30.8952,0.021966
309.0,30.90285,0.021973
310.0,30.9105,0.02198
311.0,30.91815,0.021987
312.0,30.9258,0.021994
313.0,30.93345,0.022001
314.0,30.9411,0.022008
315.0,30.94875,0.022015
316.0,30.9564,0.022022
317.0,30.96405,0.022029
318.0,30.9717,0.022036
319.0,30.97935,0.022043
320.0,30.987,0.02205
321.0,30.99465,0.022057
322.0,31.002299999999998,0.022064
323.0,31.00995,0.022071
324.0,31.017599999999998,0.022078
325.0,31.02525,0.022085
326.0,31.032899999999998,0.022092
327.0,31.04055,0.022099
328.0,31.048199999999998,0.022106
329.0,31.05585,0.022113
330.0,31.063499999999998,0.02212
331.0,31.07115,0.022126999999999997
332.0,31.0788,0.022133999999999997
333.0,31.08645,0.022140999999999997
334.0,31.0941,0.022147999999999998
335.0,31.10175,0.022154999999999998
336.0,31.1094,0.022161999999999998
337.0,31.11705,0.022168999999999998
338.0,31.1247,0.022175999999999998
339.0,31.13235,0.022182999999999998
340.0,31.14,0.022189999999999998
341.0,31.14765,0.022196999999999998
342.0,31.1553,0.022203999999999998
343.0,31.16295,0.022210999999999998
344.0,31.1706,0.022217999999999998
345.0,31.17825,0.022224999999999998
346.0,31.1859,0.022232
347.0,31.19355,0.022239
348.0,31.2012,0.022246
349.0,31.208849999999998,0.022253
350.0,31.2165,0.02226
351.0,31.224149999999998,0.022267
352.0,31.2318,0.022274
353.0,31.239449999999998,0.022281
354.0,31.2471,0.022288
355.0,31.254749999999998,0.022295
356.0,31.2624,0.022302
357.0,31.270049999999998,0.022309
358.0,31.2777,0.022316
359.0,31.285349999999998,0.022323
360.0,31.293,0.02233
361.0,31.301783333333333,0.0223375
362.0,31.310566666666666,0.022345
363.0,31.31935,0.0223525
364.0,31.328133333333334,0.022359999999999998
365.0,31.336916666666667,0.0223675
366.0,31.3457,0.022375
367.0,31.354483333333334,0.0223825
368.0,31.363266666666664,0.02239
369.0,31.372049999999998,0.0223975
370.0,31.38083333333333,0.022405
371.0,31.389616666666665,0.0224125
372.0,31.3984,0.02242
373.0,31.407183333333332,0.0224275
374.0,31.415966666666666,0.022435
375.0,31.42475,0.0224425
376.0,31.433533333333333,0.02245
377.0,31.442316666666667,0.0224575
378.0,31.4511,0.022465
379.0,31.459883333333334,0.0224725
380.0,31.468666666666667,0.02248
381.0,31.47745,0.0224875
382.0,31.486233333333335,0.022495
383.0,31.495016666666665,0.0225025
384.0,31.5038,0.02251
385.0,31.512583333333332,0.0225175
386.0,31.521366666666665,0.022525
387.0,31.53015,0.0225325
388.0,31.538933333333333,0.02254
389.0,31.547716666666666,0.0225475
390.0,31.5565,0.022555
391.0,31.565283333333333,0.0225625
392.0,31.574066666666667,0.02257
393.0,31.58285,0.0225775
394.0,31.591633333333334,0.022585
395.0,31.600416666666668,0.0225925
396.0,31.6092,0.022600000000000002
397.0,31.617983333333335,0.0226075
398.0,31.626766666666665,0.022615
399.0,31.63555,0.0226225
400.0,31.644333333333332,0.02263
401.0,31.653116666666666,0.0226375
402.0,31.6619,0.022645000000000002
403.0,31.670683333333333,0.022652500000000002
404.0,31.679466666666666,0.02266
405.0,31.68825,0.0226675
406.0,31.697033333333334,0.022675
407.0,31.705816666666667,0.0226825
408.0,31.7146,0.022690000000000002
409.0,31.723383333333334,0.022697500000000002
410.0,31.732166666666668,0.022705000000000003
411.0,31.74095,0.0227125
412.0,31.749733333333335,0.02272
413.0,31.758516666666665,0.0227275
414.0,31.7673,0.022735000000000002
415.0,31.776083333333332,0.022742500000000002
416.0,31.784866666666666,0.022750000000000003
417.0,31.79365,0.0227575
418.0,31.802433333333333,0.022765
419.0,31.811216666666667,0.0227725
420.0,31.82,0.02278
421.0,31.825016666666667,0.022787833333333334
422.0,31.830033333333333,0.02279566666666667
423.0,31.83505,0.0228035
424.0,31.84006666666667,0.022811333333333336
425.0,31.845083333333335,0.022819166666666668
426.0,31.8501,0.022827
427.0,31.855116666666667,0.022834833333333335
428.0,31.860133333333334,0.022842666666666667
429.0,31.86515,0.022850500000000003
430.0,31.870166666666666,0.022858333333333335
431.0,31.875183333333332,0.022866166666666667
432.0,31.880200000000002,0.022874000000000002
433.0,31.88521666666667,0.022881833333333334
434.0,31.890233333333335,0.02288966666666667
435.0,31.89525,0.0228975
436.0,31.900266666666667,0.022905333333333333
437.0,31.905283333333333,0.02291316666666667
438.0,31.9103,0.022921
439.0,31.91531666666667,0.022928833333333336
440.0,31.920333333333335,0.022936666666666668
441.0,31.92535,0.0229445
442.0,31.930366666666668,0.022952333333333335
443.0,31.935383333333334,0.022960166666666667
444.0,31.9404,0.022968000000000002
445.0,31.945416666666667,0.022975833333333334
446.0,31.950433333333333,0.022983666666666666
447.0,31.955450000000003,0.0229915
448.0,31.96046666666667,0.022999333333333333
449.0,31.965483333333335,0.02300716666666667
450.0,31.9705,0.023015
451.0,31.975516666666667,0.023022833333333333
452.0,31.980533333333334,0.023030666666666668
453.0,31.98555,0.0230385
454.0,31.99056666666667,0.023046333333333335
455.0,31.995583333333336,0.023054166666666667
456.0,32.0006,0.023062
457.0,32.00561666666667,0.023069833333333335
458.0,32.01063333333334,0.023077666666666666
459.0,32.01565,0.023085500000000002
460.0,32.02066666666667,0.023093333333333334
461.0,32.02568333333333,0.023101166666666666
462.0,32.0307,0.023109
463.0,32.035716666666666,0.023116833333333333
464.0,32.040733333333336,0.02312466666666667
465.0,32.04575,0.0231325
466.0,32.05076666666667,0.023140333333333332
467.0,32.05578333333334,0.023148166666666668
468.0,32.0608,0.023156
469.0,32.06581666666667,0.023163833333333335
470.0,32.07083333333333,0.023171666666666667
471.0,32.07585,0.0231795
472.0,32.080866666666665,0.023187333333333334
473.0,32.085883333333335,0.023195166666666666
474.0,32.090900000000005,0.023203
475.0,32.09591666666667,0.023210833333333333
476.0,32.10093333333334,0.023218666666666665
477.0,32.10595,0.0232265
478.0,32.11096666666667,0.023234333333333333
479.0,32.11598333333333,0.023242166666666668
480.0,32.121,0.02325
481.0,32.131150000000005,0.023258666666666667
482.0,32.1413,0.023267333333333334
483.0,32.151450000000004,0.023275999999999998
484.0,32.1616,0.023284666666666665
485.0,32.17175,0.023293333333333333
486.0,32.1819,0.023302
487.0,32.19205,0.023310666666666667
488.0,32.202200000000005,0.023319333333333334
489.0,32.21235,0.023328
490.0,32.222500000000004,0.023336666666666665
491.0,32.23265,0.023345333333333333
492.0,32.2428,0.023354
493.0,32.25295,0.023362666666666667
494.0,32.2631,0.023371333333333334
495.0,32.273250000000004,0.023379999999999998
496.0,32.2834,0.023388666666666665
497.0,32.29355,0.023397333333333332
498.0,32.3037,0.023406
499.0,32.31385,0.023414666666666667
500.0,32.324,0.023423333333333334
501.0,32.33415,0.023432
502.0,32.3443,0.023440666666666665
503.0,32.35445,0.023449333333333332
504.0,32.3646,0.023458
505.0,32.37475,0.023466666666666667
506.0,32.3849,0.023475333333333334
507.0,32.39505,0.023484
508.0,32.4052,0.023492666666666665
509.0,32.41535,0.023501333333333332
510.0,32.4255,0.02351
511.0,32.43565,0.023518666666666667
512.0,32.4458,0.023527333333333334
513.0,32.45595,0.023536
514.0,32.4661,0.023544666666666665
515.0,32.47625,0.023553333333333332
516.0,32.486399999999996,0.023562
517.0,32.49655,0.023570666666666667
518.0,32.5067,0.023579333333333334
519.0,32.51685,0.023587999999999998
520.0,32.527,0.023596666666666665
521.0,32.53715,0.023605333333333332
522.0,32.5473,0.023614
523.0,32.557449999999996,0.023622666666666667
524.0,32.5676,0.023631333333333334
525.0,32.577749999999995,0.02364
526.0,32.5879,0.023648666666666665
527.0,32.59805,0.023657333333333332
528.0,32.6082,0.023666
529.0,32.61835,0.023674666666666667
530.0,32.628499999999995,0.023683333333333334
531.0,32.63865,0.023692
532.0,32.648799999999994,0.023700666666666665
