time_s,r_0_cm,r_0.5_cm,r_1_cm,r_1.5_cm,r_2_cm
100.0,2.55,2.55,2.55,2.5499992534587013,2.2550143718363533
300.0,2.55,2.55,2.549999989450444,2.549035198539212,2.0542170304478695
600.0,2.549999999999917,2.549999998746968,2.5499828937032474,2.5350109748914176,1.8787547458349991
900.0,2.5499999996983767,2.549999622157451,2.5496410302444645,2.5044449878138817,1.7558669119534303
1200.0,2.5499999569862584,2.54999073567727,2.548081096735069,2.4646247738570235,1.6593578906666102
1500.0,2.549998949279038,2.54992802261095,2.5443958140158576,2.420768421535867,1.5793020125136819
1800.0,2.5499902688186364,2.549699164547853,2.538128342344436,2.3756895006640057,1.5106592113039032
