time_s,mean_moisture,cumulative_loss,residual
0.0,2.55,0.0,0.0
1.0,2.5497978528123264,0.0002021471876740039,4.440892098500626e-16
2.0,2.5495963344569796,0.00040366554302046073,4.440892098500626e-16
3.0,2.549395419396731,0.000604580603268664,0.0
4.0,2.5491950836156114,0.0008049163843883393,0.0
5.0,2.5489953045176184,0.0010046954823815487,0.0
6.0,2.548796060832558,0.0012039391674414793,-4.440892098500626e-16
7.0,2.548597332528502,0.0014026674714980754,4.440892098500626e-16
8.0,2.548399100730368,0.0016008992696318494,0.0
9.0,2.548201347644199,0.001798652355801428,4.440892098500626e-16
10.0,2.5480040564867026,0.0019959435132972836,0.0
11.0,2.547807211419696,0.002192788580303455,-4.440892098500626e-16
12.0,2.5476107974890794,0.002389202510920699,4.440892098500626e-16
13.0,2.547414800568022,0.0025851994319783084,4.440892098500626e-16
14.0,2.5472192073040625,0.0027807926959375557,0.0
15.0,2.5470240050698325,0.002975994930167305,0.0
16.0,2.5468291819171487,0.003170818082851594,4.440892098500626e-16
17.0,2.54663472653423,0.0033652734657698,0.0
18.0,2.5464406282058274,0.0035593717941722752,0.0
19.0,2.546246876776042,0.003753123223957934,0.0
20.0,2.5460534626136546,0.003946537386345113,0.0
21.0,2.5458603765797867,0.004139623420212998,0.0
22.0,2.545667609997722,0.004332390002277941,0.0
23.0,2.545475154624743,0.004524845375256991,0.0
24.0,2.5452830026258404,0.004716997374159862,4.440892098500626e-16
25.0,2.5450911465491597,0.0049088534508403055,0.0
26.0,2.5448995793030718,0.005100420696928331,4.440892098500626e-16
27.0,2.544708294134745,0.005291705865255952,8.881784197001252e-16
28.0,2.5445172846101194,0.005482715389880979,4.440892098500626e-16
29.0,2.544326544595194,0.005673455404805843,0.0
30.0,2.5441360682385183,0.005863931761481492,0.0
31.0,2.5439458499548206,0.006054150045179905,8.881784197001252e-16
32.0,2.543755884409687,0.006244115590312835,0.0
33.0,2.5435661665052307,0.006433833494768773,-4.440892098500626e-16
34.0,2.543376691366665,0.006623308633335118,4.440892098500626e-16
35.0,2.543187454329732,0.00681254567026765,0.0
36.0,2.5429984509289354,0.007001549071065108,8.881784197001252e-16
37.0,2.5428096768864976,0.007190323113502506,4.440892098500626e-16
38.0,2.542621128102027,0.007378871897973126,0.0
39.0,2.5424328006428145,0.007567199357185498,0.0
