case,h_W_m2K,hm_m_s,T_center_C,T_surface_C,C_center_kg_per_kg,C_surface_kg_per_kg,runtime_s,delta_T_center_C,delta_T_surface_C,delta_C_center_kg_per_kg,delta_C_surface_kg_per_kg
baseline,25.0,8e-07,49.849495585177436,49.966412935738234,1.7661771011361722,1.008123122878544,299.3686688,0.0,0.0,0.0,0.0
h_minus20,20.0,8e-07,49.72034265550544,49.865347691665136,1.7765668895332756,1.0096393577198872,299.46867010000096,-0.12915292967199576,-0.10106524407309792,0.010389788397103361,0.0015162348413431115
h_plus20,30.0,8e-07,49.907189953541696,50.012964418075136,1.7596157764494746,1.0067327596341924,308.78411140000026,0.057694368364259674,0.046551482336901984,-0.006561324686697567,-0.001390363244351711
hm_minus20,25.0,6.4e-07,49.8369000298899,49.95609618146277,1.8581465777479664,1.1774940355323409,295.4714292000008,-0.01259555528753964,-0.010316754275464746,0.09196947661179422,0.16937091265379678
hm_plus20,25.0,9.6e-07,49.85946087984969,49.97473387979296,1.6920554402502448,0.8736700820801072,285.6241007999997,0.009965294672255709,0.008320944054723611,-0.07412166088592742,-0.1344530407984369
