time_s,temperature_C,moisture_kg_per_kg
0.0,28.0,0.01963
1.0,28.0088,0.0196365
2.0,28.0176,0.019643
3.0,28.0264,0.0196495
4.0,28.0352,0.019656
5.0,28.044,0.019662500000000003
6.0,28.0528,0.019669000000000002
7.0,28.0616,0.019675500000000002
8.0,28.0704,0.019682
9.0,28.0792,0.0196885
10.0,28.088,0.019695
11.0,28.096799999999998,0.0197015
12.0,28.1056,0.019708
13.0,28.1144,0.019714500000000003
14.0,28.1232,0.019721000000000002
15.0,28.131999999999998,0.019727500000000002
16.0,28.1408,0.019734
17.0,28.1496,0.0197405
18.0,28.1584,0.019747
19.0,28.1672,0.0197535
20.0,28.176,0.01976
21.0,28.1848,0.0197665
22.0,28.1936,0.019773000000000002
23.0,28.2024,0.019779500000000002
24.0,28.211199999999998,0.019786
25.0,28.22,0.0197925
26.0,28.2288,0.019799
27.0,28.2376,0.0198055
28.0,28.246399999999998,0.019812
29.0,28.2552,0.0198185
30.0,28.264,0.019825000000000002
31.0,28.2728,0.019831500000000002
32.0,28.2816,0.019838
33.0,28.290399999999998,0.0198445
34.0,28.2992,0.019851
35.0,28.308,0.0198575
36.0,28.3168,0.019864
37.0,28.325599999999998,0.0198705
38.0,28.3344,0.019877
39.0,28.3432,0.019883500000000002
40.0,28.352,0.01989
41.0,28.360799999999998,0.0198965
42.0,28.3696,0.019903
43.0,28.3784,0.0199095
44.0,28.3872,0.019916
45.0,28.396,0.0199225
46.0,28.404799999999998,0.019929
47.0,28.4136,0.0199355
48.0,28.4224,0.019942
49.0,28.4312,0.0199485
50.0,28.439999999999998,0.019955
51.0,28.4488,0.0199615
52.0,28.4576,0.019968
53.0,28.4664,0.0199745
54.0,28.475199999999997,0.019981
55.0,28.483999999999998,0.0199875
56.0,28.4928,0.019994
57.0,28.5016,0.0200005
58.0,28.510399999999997,0.020007
59.0,28.519199999999998,0.0200135
60.0,28.528,0.02002
61.0,28.539066666666667,0.0200285
62.0,28.55013333333333,0.020037
63.0,28.5612,0.0200455
64.0,28.572266666666664,0.020054
65.0,28.583333333333332,0.0200625
66.0,28.5944,0.020071
67.0,28.605466666666665,0.0200795
68.0,28.616533333333333,0.020087999999999998
69.0,28.627599999999997,0.0200965
70.0,28.638666666666666,0.020104999999999998
71.0,28.649733333333334,0.0201135
72.0,28.6608,0.020122
73.0,28.671866666666666,0.0201305
74.0,28.68293333333333,0.020139
75.0,28.694,0.0201475
76.0,28.705066666666667,0.020156
77.0,28.71613333333333,0.0201645
78.0,28.7272,0.020173
79.0,28.738266666666664,0.020181499999999998
80.0,28.749333333333333,0.02019
81.0,28.7604,0.0201985
82.0,28.771466666666665,0.020207
83.0,28.782533333333333,0.0202155
84.0,28.793599999999998,0.020224
85.0,28.804666666666666,0.0202325
86.0,28.815733333333334,0.020241
87.0,28.8268,0.0202495
88.0,28.837866666666667,0.020257999999999998
89.0,28.84893333333333,0.0202665
90.0,28.86,0.020275
91.0,28.871066666666668,0.0202835
92.0,28.882133333333332,0.020292
93.0,28.8932,0.0203005
94.0,28.904266666666665,0.020309
