n_intervals,dr_m,time_s,time_h,source
2560,7.8125e-06,206897.02282643443,57.47139522956512,new_full_audit
5120,3.90625e-06,206899.43937557944,57.47206649321651,new_full_audit
10240,1.953125e-06,206900.07784038855,57.472243844552374,accepted_q3_convergence_base
