time_s,mean_moisture,max_moisture,center_gap,monotonicity,effective_balance_residual
0.0,2.5500000000000003,2.55,0.0,0.0,8.881784197001252e-16
60.0,2.538578481813201,2.55,0.0,8.881784197001252e-16,1.3912270446780894e-08
120.0,2.527723195387423,2.55,0.0,8.881784197001252e-16,2.5281438276181234e-08
180.0,2.517216273391135,2.55,0.0,8.881784197001252e-16,3.0805964001956454e-08
240.0,2.506979996542531,2.55,0.0,8.881784197001252e-16,3.4381126834404085e-08
300.0,2.4969692504297827,2.5500000000000007,8.881784197001252e-16,8.881784197001252e-16,3.659068914529939e-08
360.0,2.4871526958563925,2.5500000000000007,8.881784197001252e-16,1.7763568394002505e-15,3.7980044442775807e-08
420.0,2.477507998700824,2.5500000000000007,1.3322676295501878e-15,1.7763568394002505e-15,3.9618327285495525e-08
480.0,2.468017928717919,2.5500000000000007,8.881784197001252e-16,8.881784197001252e-16,4.064218384058904e-08
540.0,2.4586689085917697,2.5499999999999994,4.440892098500626e-16,8.881784197001252e-16,4.14720870978158e-08
600.0,2.449449103701623,2.5499999999999616,0.0,8.881784197001252e-16,4.2350233542265414e-08
660.0,2.4403481127427806,2.5499999999993666,8.881784197001252e-16,1.3322676295501878e-15,4.3082779566105955e-08
720.0,2.4313568458866954,2.5499999999933656,4.440892098500626e-16,4.440892098500626e-16,4.358763749934269e-08
780.0,2.42246821321679,2.5499999999510914,0.0,0.0,4.412719079027738e-08
840.0,2.4136760855123076,2.5499999997263982,0.0,-8.881784197001252e-16,4.4542100230415826e-08
900.0,2.40497495495666,2.5499999987730613,0.0,-4.884981308350689e-15,4.4992217063111184e-08
960.0,2.3963589467454285,2.5499999954043657,0.0,-1.509903313490213e-14,4.5475313292797637e-08
1020.0,2.3878231513070585,2.5499999851634056,0.0,-4.440892098500626e-14,4.5776561208299427e-08
1080.0,2.379364215273527,2.549999957694237,0.0,-1.1191048088221578e-13,4.61348723668209e-08
1140.0,2.3709774284899834,2.549999891376469,0.0,-2.5712765250318625e-13,4.633648353902231e-08
1200.0,2.362659375392349,2.5499997449526006,0.0,-5.422329252269265e-13,4.667792952162131e-08
1260.0,2.3544067255808554,2.549999445452455,0.0,-1.0667022820598504e-12,4.687881816067829e-08
1320.0,2.346216088173776,2.5499988719013755,0.0,-1.9695356456850277e-12,4.7117413082276016e-08
1380.0,2.338085160335166,2.5499978345875007,0.0,-3.447020446856186e-12,4.731430580662277e-08
1440.0,2.3300109397024036,2.5499960500026893,0.0,-5.750067089138611e-12,4.754924098904212e-08
1500.0,2.3219908521736343,2.5499931118231958,0.0,-9.198419803624347e-12,4.767249928150363e-08
1560.0,2.3140234748100075,2.5499884586036776,0.0,-1.4178436202882949e-11,4.785474638779874e-08
1620.0,2.3061065519660655,2.5499813393511963,0.0,-2.114530772701073e-11,4.796028063580593e-08
1680.0,2.29823841145778,2.549970778438111,0.0,-3.061684239469287e-11,4.8117779094525304e-08
1740.0,2.290417107860905,2.549955540983539,0.0,-4.3165027108216236e-11,4.8316391776381806e-08
1800.0,2.2826406262388557,2.549934100065531,0.0,-5.941158676137093e-11,4.846086021359497e-08
1860.0,2.274907143081314,2.5499046067011917,0.0,-8.001110884947593e-11,4.861424418578508e-08
1920.0,2.2672155021575757,2.549864862293128,0.0,-1.0564038532834275e-10,4.866203617837073e-08
1980.0,2.259564925977553,2.5498122950836057,0.0,-1.3698642220560941e-10,4.8696372267897914e-08
2040.0,2.2519534886008117,2.549743943025668,0.0,-1.7473089641839579e-10,4.891454885580515e-08
2100.0,2.2443798093118597,2.5496564462776856,0.0,-2.1952928364044055e-10,4.898125194330305e-08
2160.0,2.2368433365651375,2.54954604724282,0.0,-2.720006442302747e-10,4.9080160824388486e-08
2220.0,2.229343316859955,2.549408595063652,0.0,-3.327134123765063e-10,4.919838403338872e-08
2280.0,2.2218783358868106,2.549239559055128,0.0,-4.0216763252942656e-10,4.92433822607552e-08
2340.0,2.2144465097532753,2.5490340489535823,0.0,-4.807927389549604e-10,4.934457642491452e-08
2400.0,2.2070468743480043,2.5487868359458252,0.0,-5.689355653260009e-10,4.939190922925718e-08
2460.0,2.1996793482181087,2.5484923808451705,0.0,-6.668572360979397e-10,4.947777565433853e-08
2520.0,2.19234280862139,2.548144865359559,0.0,-7.747296137949888e-10,4.951192256186232e-08
2580.0,2.1850368934498623,2.54773822943251,0.0,-8.92630858118082e-10,4.955074706103346e-08
2640.0,2.177760967832508,2.5472662108793034,0.0,-1.0205507550153925e-09,4.963839339566789e-08
2700.0,2.1705134453363324,2.5467223954220923,0.0,-1.1583805026305072e-09,4.9669356183557056e-08
2760.0,2.1632942025310724,2.546100281556475,0.0,-1.3059167081053147e-09,4.96791687787379e-08
2820.0,2.1561034445733758,2.5453933193938596,0.0,-1.462872045721042e-09,4.972395828417575e-08
2880.0,2.1489399620528244,2.5445949526338056,0.0,-1.6288805859687727e-09,4.979566581297945e-08
2940.0,2.1418036211295193,2.5436987000328517,0.0,-1.8034844728731514e-09,4.979406265093189e-08
3000.0,2.1346938709611427,2.542698220353997,0.0,-1.9861587929881352e-09,4.983157397830951e-08
3060.0,2.1276105115751465,2.541587337201101,0.0,-2.176321345359611e-09,4.9861226258940405e-08
3120.0,2.1205529470315696,2.5403601013326735,0.0,-2.3733282006332956e-09,4.994092339671852e-08
3180.0,2.113520172624912,2.539010854768264,0.0,-2.576488355998663e-09,4.993646296469478e-08
3240.0,2.106512603460334,2.5375342458625263,0.0,-2.785089936452323e-09,4.9969600901533795e-08
3300.0,2.099529263060659,2.5359251838561296,0.0,-2.9984259519721945e-09,5.003074354803516e-08
3360.0,2.0925696149174358,2.534178849220098,0.0,-3.2157743135030614e-09,5.0017763708609664e-08
3420.0,2.0856334546724296,2.532290766032333,0.0,-3.4364004974918316e-09,5.005519243539425e-08
3480.0,2.0787205602606518,2.5302568565810435,0.0,-3.6595575458875373e-09,5.0039881127617036e-08
3540.0,2.071831094660954,2.5280735085715818,0.0,-3.884490062944224e-09,5.006555303666005e-08
3600.0,2.064964225427648,2.5257376109276213,0.0,-4.1104457615404044e-09,5.0128951212258244e-08
3660.0,2.0581196436890616,2.5232465947739935,0.0,-4.3366763513574824e-09,5.013121207042559e-08
3720.0,2.051297769699236,2.520598408132679,0.0,-4.562477506908635e-09,5.011181380965013e-08
3780.0,2.0444982491320327,2.5177913792991817,0.0,-4.78720707519642e-09,5.019270110651064e-08
3840.0,2.037720378138151,2.5148242030301775,0.0,-5.010248660397565e-09,5.0160108511221324e-08
3900.0,2.030963644814343,2.5116959799943706,0.0,-5.231022282004005e-09,5.01818564480061e-08
3960.0,2.024228604313806,2.5084061973499296,0.0,-5.4489857070905146e-09,5.017643500693225e-08
4020.0,2.017514817342828,2.504954765908859,0.0,-5.663622015816827e-09,5.018490289998567e-08
4080.0,2.0108219617485985,2.501342067807604,0.0,-5.87443738098159e-09,5.0188569744591405e-08
4140.0,2.0041507532029987,2.4975689554834117,0.0,-6.080976167055496e-09,5.023206517407175e-08
4200.0,1.9975008721866023,2.493636785915946,0.0,-6.282800946166844e-09,5.0229149284319874e-08
4260.0,1.9908716779967608,2.4895474101515878,0.0,-6.479533354308842e-09,5.025220817245213e-08
4320.0,1.9842630894067512,2.4853029956027504,0.0,-6.670867414015902e-09,5.03010113561686e-08
4380.0,1.9776749881011195,2.480905952473947,0.0,-6.856545109457102e-09,5.0262552786506376e-08
4440.0,1.9711074398132302,2.4763588735705193,0.0,-7.036369709112478e-09,5.0258738060193764e-08
4500.0,1.9645605534527504,2.471664452542885,0.0,-7.2101737913499164e-09,5.028237959336934e-08
4560.0,1.9580344446333373,2.4668257197984533,0.0,-7.377751298776047e-09,5.0297181086733644e-08
4620.0,1.9515284042486025,2.461846170259915,0.0,-7.538936586115597e-09,5.032770511448348e-08
4680.0,1.9450425519738168,2.456729539054671,0.0,-7.693646608686322e-09,5.0325644984638984e-08
4740.0,1.9385771582637052,2.451479606144489,0.0,-7.841859606116941e-09,5.0340186685815524e-08
4800.0,1.9321308758924534,2.4461000946998617,0.0,-7.98358756881612e-09,5.0336662393846154e-08
4860.0,1.9257036602587954,2.44059472299293,0.0,-8.118849148530671e-09,5.031751593165268e-08
4920.0,1.9192962611464577,2.4349672646646634,0.0,-8.247669214256348e-09,5.0351350200372735e-08
4980.0,1.9129089874739442,2.429221649085015,0.0,-8.370059756401815e-09,5.031167127356184e-08
5040.0,1.9065417058149432,2.4233620433106777,0.0,-8.486051417122553e-09,5.027530214363196e-08
5100.0,1.9001943184425725,2.4173927345322386,0.0,-8.595701483926632e-09,5.032234673407743e-08
5160.0,1.8938665300300532,2.4113182781708313,0.0,-8.699025944025607e-09,5.036908090616521e-08
5220.0,1.887557892906351,2.4051435490910382,0.0,-8.796085637641227e-09,5.031910710329157e-08
5280.0,1.8812684018795625,2.3988733846599843,0.0,-8.887054203654543e-09,5.0322977784844625e-08
5340.0,1.8749985831117928,2.392512214098381,0.0,-8.972145693064704e-09,5.035307948375589e-08
5400.0,1.8687480479620593,2.3860642604756057,0.0,-9.051492888545454e-09,5.032689154305103e-08
5460.0,1.8625169046721928,2.37953386330433,0.0,-9.125215694183453e-09,5.0371373294666455e-08
5520.0,1.856305620572794,2.372925369155972,0.0,-9.193469097112938e-09,5.035104910788846e-08
5580.0,1.8501129209819587,2.366243062401154,0.0,-9.256425848036542e-09,5.030118765958491e-08
5640.0,1.8439392514975224,2.359491011943689,0.0,-9.314288007544747e-09,5.0335975387838516e-08
5700.0,1.8377847717592772,2.352673153239039,0.0,-9.367210118682578e-09,5.036462757956883e-08
5760.0,1.8316494857538261,2.345793481309097,0.0,-9.415327628659043e-09,5.031604111138677e-08
5820.0,1.825533369063159,2.338855991838742,0.0,-9.45881728497966e-09,5.0321550482124167e-08
5880.0,1.8194368790742845,2.3318645028432945,0.0,-9.497864272844936e-09,5.033574801416307e-08
5940.0,1.8133596042303994,2.3248227990474253,0.0,-9.532597822214939e-09,5.038612860275293e-08
6000.0,1.8073010450309843,2.3177348255861934,0.0,-9.563144054425265e-09,5.038645456423296e-08
6060.0,1.801261862194815,2.310604401160682,0.0,-9.589739224935556e-09,5.03534134388417e-08
6120.0,1.795241118542989,2.303434686252229,0.0,-9.612675988535102e-09,5.032571825935861e-08
6180.0,1.7892393708548666,2.2962283663204177,0.0,-9.632132424997053e-09,5.037391481721443e-08
6240.0,1.783256522790708,2.288988254727967,0.0,-9.648176924059726e-09,5.034991978902781e-08
6300.0,1.7772925700894693,2.281717467406083,0.0,-9.660923616650052e-09,5.035666150732254e-08
