case,center_C,delta_time_s_vs_baseline,delta_time_s_vs_nominal_same_n,h_W_m2K,hm_m_s,max_C,monotonicity_max_positive_neighbor_jump_kg_per_kg,n_intervals,nominal_reference_time_s_same_n,plateau_moisture_kg_per_kg,plateau_temperature_C,runtime_s,status,time_h,time_s
final_hour_mean,0.15,-11.777977337565972,6.078813550499035,25.0,8e-07,0.15,1.7763568394002505e-15,1000,206882.2081474891,0.049987540983606554,49.998934426229496,53.21558069999992,EVENT_LOCATED,57.468968600288775,206888.2869610396
last_observation,0.15,-1108.4580553780252,-1090.6012644899602,25.0,8e-07,0.15,1.7763568394002505e-15,1000,206882.2081474891,0.04986,50.165,55.19036369999958,EVENT_LOCATED,57.164335245277535,205791.60688299913
h_minus20,0.15,53.10710650347755,70.96389739154256,20.0,8e-07,0.15,1.7763568394002505e-15,1000,206882.2081474891,0.05,50.0,53.2613194000005,EVENT_LOCATED,57.48699223468906,206953.17204488063
h_plus20,0.15,-64.77425567232422,-46.91746478425921,30.0,8e-07,0.15,1.7763568394002505e-15,1000,206882.2081474891,0.05,50.0,46.29431359999944,EVENT_LOCATED,57.454247411862454,206835.29068270483
hm_minus20,0.15,6094.446253787843,6112.303044675908,25.0,6.4e-07,0.15,1.7763568394002505e-15,1000,206882.2081474891,0.05,50.0,73.64529249999941,EVENT_LOCATED,59.16514199782361,212994.511192165
hm_plus20,0.15,-3763.6416747952753,-3745.7848839072103,25.0,9.6e-07,0.15,1.7763568394002505e-15,1000,206882.2081474891,0.05,50.0,61.57992360000026,EVENT_LOCATED,56.42678423988386,203136.42326358188
