radius_cm,time_s,time_h,bracket_left_s,bracket_right_s
0.0,206900.06493837715,57.47224026066032,206880.0,206900.06493837715
0.1,206587.53076582713,57.38542521272976,206580.0,206640.0
0.2,205648.9214540837,57.124700403912136,205620.0,205680.0
0.3,204081.18182234367,56.68921717287324,204060.0,204120.0
0.4,201879.0870936377,56.07752419267714,201840.0,201900.0
0.5,199035.00705102168,55.287501958617135,199020.0,199080.0
0.6,195538.5623309282,54.31626731414672,195480.0,195540.0
0.7000000000000001,191376.12958977523,53.16003599715979,191340.0,191400.0
0.8,186530.08426813732,51.813912296704814,186480.0,186540.0
0.9000000000000001,180977.80265826292,50.27161184951748,180960.0,181020.0
1.0,174690.11349261855,48.52503152572737,174660.0,174720.0
1.0999999999999999,167629.05726071747,46.563627016865965,167580.0,167640.0
1.2,159744.42971950496,44.37345269986249,159720.0,159780.0
1.3,150968.20755796673,41.935613210546315,150960.0,151020.0
1.4000000000000001,141205.21701011123,39.223671391697565,141180.0,141240.0
1.5,130316.16368416602,36.19893435671278,130260.0,130320.0
1.6,118084.24459995943,32.80117905554429,118080.0,118140.0
1.7000000000000002,104140.53891599888,28.92792747666636,104100.0,104160.0
1.8000000000000003,87768.0249244276,24.38000692345211,87720.0,87780.0
1.9,67332.52676863105,18.70347965795307,67320.0,67380.0
2.0,45187.598901544174,12.552110805984492,45180.0,45240.0
